Indicator,Country,Date,value
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-08-29,24.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Liberia,2014-08-29,60.0
"Proportion of probable Ebola cases that are from the last 21 days",Liberia,2014-08-29,63.0
"Proportion of suspected Ebola cases that are from the last 21 days",Liberia,2014-08-29,66.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-08-29,63.0
"Proportion of confirmed Ebola cases that are from the last 21 days","Sierra Leone",2014-08-29,33.0
"Proportion of probable Ebola cases that are from the last 21 days","Sierra Leone",2014-08-29,11.0
"Proportion of suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-08-29,35.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-08-29,32.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Nigeria,2014-08-29,40.0
"Proportion of probable Ebola cases that are from the last 21 days",Nigeria,2014-08-29,100.0
"Proportion of suspected Ebola cases that are from the last 21 days",Nigeria,2014-08-29,100.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-08-29,53.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-08-29,287.0
"Cumulative number of probable Ebola deaths",Guinea,2014-08-29,141.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-08-29,2.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-08-29,430.0
"Cumulative number of confirmed Ebola deaths",Liberia,2014-08-29,225.0
"Cumulative number of probable Ebola deaths",Liberia,2014-08-29,301.0
"Cumulative number of suspected Ebola deaths",Liberia,2014-08-29,168.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-08-29,694.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-08-29,380.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-08-29,34.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-08-29,8.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-08-29,422.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-08-29,6.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-08-29,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-08-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-08-29,7.0
"Number of confirmed Ebola deaths in the last 21 days",Guinea,2014-08-29,8.0
"Number of probable Ebola deaths in the last 21 days",Guinea,2014-08-29,0.0
"Number of suspected Ebola deaths in the last 21 days",Guinea,2014-08-29,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,2014-08-29,8.0
"Number of confirmed Ebola deaths in the last 21 days",Liberia,2014-08-29,16.0
"Number of probable Ebola deaths in the last 21 days",Liberia,2014-08-29,24.0
"Number of suspected Ebola deaths in the last 21 days",Liberia,2014-08-29,14.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,2014-08-29,54.0
"Number of confirmed Ebola deaths in the last 21 days","Sierra Leone",2014-08-29,35.0
"Number of probable Ebola deaths in the last 21 days","Sierra Leone",2014-08-29,2.0
"Number of suspected Ebola deaths in the last 21 days","Sierra Leone",2014-08-29,2.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days","Sierra Leone",2014-08-29,39.0
"Number of confirmed Ebola deaths in the last 21 days",Nigeria,2014-08-29,4.0
"Number of probable Ebola deaths in the last 21 days",Nigeria,2014-08-29,0.0
"Number of suspected Ebola deaths in the last 21 days",Nigeria,2014-08-29,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,2014-08-29,4.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Guinea,2014-08-29,3.0
"Proportion of probable Ebola deaths that are from the last 21 days",Guinea,2014-08-29,0.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Guinea,2014-08-29,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,2014-08-29,2.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Liberia,2014-08-29,7.0
"Proportion of probable Ebola deaths that are from the last 21 days",Liberia,2014-08-29,8.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Liberia,2014-08-29,8.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,2014-08-29,8.0
"Proportion of confirmed Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,9.0
"Proportion of probable Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,6.0
"Proportion of suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,25.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,9.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,67.0
"Proportion of probable Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,57.0
"Case fatality rate (CFR) of confirmed Ebola cases",Guinea,2014-08-29,60.0
"Case fatality rate (CFR) of probable Ebola cases",Guinea,2014-08-29,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Guinea,2014-08-29,8.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,66.0
"Case fatality rate (CFR) of confirmed Ebola cases",Liberia,2014-08-29,70.0
"Case fatality rate (CFR) of probable Ebola cases",Liberia,2014-08-29,45.0
"Case fatality rate (CFR) of suspected Ebola cases",Liberia,2014-08-29,44.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-08-29,50.0
"Case fatality rate (CFR) of confirmed Ebola cases","Sierra Leone",2014-08-29,41.0
"Case fatality rate (CFR) of probable Ebola cases","Sierra Leone",2014-08-29,92.0
"Case fatality rate (CFR) of suspected Ebola cases","Sierra Leone",2014-08-29,15.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-08-29,41.0
"Case fatality rate (CFR) of confirmed Ebola cases",Nigeria,2014-08-29,40.0
"Case fatality rate (CFR) of probable Ebola cases",Nigeria,2014-08-29,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Nigeria,2014-08-29,0.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-08-29,37.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-09-05,604.0
"Cumulative number of probable Ebola cases",Guinea,2014-09-05,152.0
"Cumulative number of suspected Ebola cases",Guinea,2014-09-05,56.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-05,812.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-09-05,614.0
"Cumulative number of probable Ebola cases",Liberia,2014-09-05,888.0
"Cumulative number of suspected Ebola cases",Liberia,2014-09-05,369.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-05,1871.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-09-05,1146.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-09-05,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-09-05,78.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-09-05,1261.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-09-05,18.0
"Cumulative number of probable Ebola cases",Nigeria,2014-09-05,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-09-05,3.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-05,22.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-09-05,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-05,1.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2014-09-05,226.0
"Number of probable Ebola cases in the last 21 days",Guinea,2014-09-05,19.0
"Number of suspected Ebola cases in the last 21 days",Guinea,2014-09-05,44.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-05,289.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2014-09-05,414.0
"Number of probable Ebola cases in the last 21 days",Liberia,2014-09-05,444.0
"Number of suspected Ebola cases in the last 21 days",Liberia,2014-09-05,179.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-05,1037.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2014-09-05,396.0
"Number of probable Ebola cases in the last 21 days","Sierra Leone",2014-09-05,0.0
"Number of suspected Ebola cases in the last 21 days","Sierra Leone",2014-09-05,37.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2014-09-05,433.0
"Number of confirmed Ebola cases in the last 21 days",Nigeria,2014-09-05,7.0
"Number of probable Ebola cases in the last 21 days",Nigeria,2014-09-05,0.0
"Number of suspected Ebola cases in the last 21 days",Nigeria,2014-09-05,2.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-05,9.0
"Number of confirmed Ebola cases in the last 21 days",Senegal,2014-09-05,1.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-05,1.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Guinea,2014-09-05,37.0
"Proportion of probable Ebola cases that are from the last 21 days",Guinea,2014-09-05,13.0
"Proportion of suspected Ebola cases that are from the last 21 days",Guinea,2014-09-05,79.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-05,36.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Liberia,2014-09-05,67.0
"Proportion of probable Ebola cases that are from the last 21 days",Liberia,2014-09-05,50.0
"Proportion of suspected Ebola cases that are from the last 21 days",Liberia,2014-09-05,49.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-05,55.0
"Proportion of confirmed Ebola cases that are from the last 21 days","Sierra Leone",2014-09-05,35.0
"Proportion of probable Ebola cases that are from the last 21 days","Sierra Leone",2014-09-05,0.0
"Proportion of suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-09-05,47.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-09-05,34.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Nigeria,2014-09-05,39.0
"Proportion of probable Ebola cases that are from the last 21 days",Nigeria,2014-09-05,0.0
"Proportion of suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-05,67.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-05,41.0
"Proportion of probable Ebola cases that are from the last 21 days",Senegal,2014-09-05,100.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-05,100.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-09-05,362.0
"Cumulative number of probable Ebola deaths",Guinea,2014-09-05,152.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-09-05,3.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-05,517.0
"Cumulative number of confirmed Ebola deaths",Liberia,2014-09-05,431.0
"Cumulative number of probable Ebola deaths",Liberia,2014-09-05,401.0
"Cumulative number of suspected Ebola deaths",Liberia,2014-09-05,257.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-05,1089.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-09-05,443.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-09-05,37.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-09-05,11.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-09-05,491.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-09-05,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-09-05,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-09-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-05,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-09-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-05,0.0
"Number of confirmed Ebola deaths in the last 21 days",Guinea,2014-09-05,117.0
"Number of probable Ebola deaths in the last 21 days",Guinea,2014-09-05,19.0
"Number of suspected Ebola deaths in the last 21 days",Guinea,2014-09-05,1.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,2014-09-05,137.0
"Number of confirmed Ebola deaths in the last 21 days",Liberia,2014-09-05,253.0
"Number of probable Ebola deaths in the last 21 days",Liberia,2014-09-05,199.0
"Number of suspected Ebola deaths in the last 21 days",Liberia,2014-09-05,171.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,2014-09-05,623.0
"Number of confirmed Ebola deaths in the last 21 days","Sierra Leone",2014-09-05,127.0
"Number of probable Ebola deaths in the last 21 days","Sierra Leone",2014-09-05,3.0
"Number of suspected Ebola deaths in the last 21 days","Sierra Leone",2014-09-05,6.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days","Sierra Leone",2014-09-05,136.0
"Number of confirmed Ebola deaths in the last 21 days",Nigeria,2014-09-05,3.0
"Number of probable Ebola deaths in the last 21 days",Nigeria,2014-09-05,1.0
"Number of suspected Ebola deaths in the last 21 days",Nigeria,2014-09-05,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,2014-09-05,4.0
"Number of confirmed Ebola deaths in the last 21 days",Senegal,2014-09-05,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,2014-09-05,0.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Guinea,2014-09-05,32.0
"Proportion of probable Ebola deaths that are from the last 21 days",Guinea,2014-09-05,13.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-05,33.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-05,26.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Liberia,2014-09-05,59.0
"Proportion of probable Ebola deaths that are from the last 21 days",Liberia,2014-09-05,50.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Liberia,2014-09-05,67.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,2014-09-05,57.0
"Proportion of confirmed Ebola deaths that are from the last 21 days","Sierra Leone",2014-09-05,29.0
"Proportion of probable Ebola deaths that are from the last 21 days","Sierra Leone",2014-09-05,8.0
"Proportion of suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-09-05,55.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-09-05,28.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Nigeria,2014-09-05,43.0
"Proportion of probable Ebola deaths that are from the last 21 days",Nigeria,2014-09-05,100.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Nigeria,2014-09-05,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-09-05,50.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Senegal,2014-09-05,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Senegal,2014-09-05,0.0
"Case fatality rate (CFR) of confirmed Ebola cases",Guinea,2014-09-05,60.0
"Case fatality rate (CFR) of probable Ebola cases",Guinea,2014-09-05,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Guinea,2014-09-05,5.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-09-05,64.0
"Case fatality rate (CFR) of confirmed Ebola cases",Liberia,2014-09-05,70.0
"Case fatality rate (CFR) of probable Ebola cases",Liberia,2014-09-05,45.0
"Case fatality rate (CFR) of suspected Ebola cases",Liberia,2014-09-05,70.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-09-05,58.0
"Case fatality rate (CFR) of confirmed Ebola cases","Sierra Leone",2014-09-05,39.0
"Case fatality rate (CFR) of probable Ebola cases","Sierra Leone",2014-09-05,100.0
"Case fatality rate (CFR) of suspected Ebola cases","Sierra Leone",2014-09-05,14.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-09-05,39.0
"Case fatality rate (CFR) of confirmed Ebola cases",Nigeria,2014-09-05,39.0
"Case fatality rate (CFR) of probable Ebola cases",Nigeria,2014-09-05,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Nigeria,2014-09-05,0.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-05,36.0
"Case fatality rate (CFR) of confirmed Ebola cases",Senegal,2014-09-05,0.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,2014-09-05,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-09-08,664.0
"Cumulative number of probable Ebola cases",Guinea,2014-09-08,151.0
"Cumulative number of suspected Ebola cases",Guinea,2014-09-08,47.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-08,862.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-09-08,634.0
"Cumulative number of probable Ebola cases",Liberia,2014-09-08,969.0
"Cumulative number of suspected Ebola cases",Liberia,2014-09-08,443.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-08,2046.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-09-08,1234.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-09-08,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-09-08,90.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-09-08,1361.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-09-08,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-09-08,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-09-08,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-08,21.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-09-08,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-09-08,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-09-08,2.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-08,3.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2014-09-08,286.0
"Number of probable Ebola cases in the last 21 days",Guinea,2014-09-08,18.0
"Number of suspected Ebola cases in the last 21 days",Guinea,2014-09-08,35.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-08,339.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2014-09-08,434.0
"Number of probable Ebola cases in the last 21 days",Liberia,2014-09-08,525.0
"Number of suspected Ebola cases in the last 21 days",Liberia,2014-09-08,253.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-08,1212.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2014-09-08,484.0
"Number of probable Ebola cases in the last 21 days","Sierra Leone",2014-09-08,0.0
"Number of suspected Ebola cases in the last 21 days","Sierra Leone",2014-09-08,49.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2014-09-08,533.0
"Number of confirmed Ebola cases in the last 21 days",Nigeria,2014-09-08,7.0
"Number of probable Ebola cases in the last 21 days",Nigeria,2014-09-08,1.0
"Number of suspected Ebola cases in the last 21 days",Nigeria,2014-09-08,0.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-08,8.0
"Number of confirmed Ebola cases in the last 21 days",Senegal,2014-09-08,1.0
"Number of probable Ebola cases in the last 21 days",Senegal,2014-09-08,0.0
"Number of suspected Ebola cases in the last 21 days",Senegal,2014-09-08,2.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-08,3.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Guinea,2014-09-08,43.0
"Proportion of probable Ebola cases that are from the last 21 days",Guinea,2014-09-08,12.0
"Proportion of suspected Ebola cases that are from the last 21 days",Guinea,2014-09-08,74.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-08,39.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Liberia,2014-09-08,68.0
"Proportion of probable Ebola cases that are from the last 21 days",Liberia,2014-09-08,54.0
"Proportion of suspected Ebola cases that are from the last 21 days",Liberia,2014-09-08,57.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-08,59.0
"Proportion of confirmed Ebola cases that are from the last 21 days","Sierra Leone",2014-09-08,39.0
"Proportion of probable Ebola cases that are from the last 21 days","Sierra Leone",2014-09-08,0.0
"Proportion of suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-09-08,54.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days","Sierra Leone",2014-09-08,39.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Nigeria,2014-09-08,37.0
"Proportion of probable Ebola cases that are from the last 21 days",Nigeria,2014-09-08,100.0
"Proportion of suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-08,0.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-08,38.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Senegal,2014-09-08,100.0
"Proportion of suspected Ebola cases that are from the last 21 days",Senegal,2014-09-08,100.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-08,100.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-09-08,400.0
"Cumulative number of probable Ebola deaths",Guinea,2014-09-08,151.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-09-08,4.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-08,555.0
"Cumulative number of confirmed Ebola deaths",Liberia,2014-09-08,508.0
"Cumulative number of probable Ebola deaths",Liberia,2014-09-08,420.0
"Cumulative number of suspected Ebola deaths",Liberia,2014-09-08,296.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-08,1224.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-09-08,461.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-09-08,37.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-09-08,11.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-09-08,509.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-09-08,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-09-08,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-09-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-08,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-09-08,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-09-08,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-09-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-08,0.0
"Number of confirmed Ebola deaths in the last 21 days",Guinea,2014-09-08,120.0
"Number of probable Ebola deaths in the last 21 days",Guinea,2014-09-08,35.0
"Number of suspected Ebola deaths in the last 21 days",Guinea,2014-09-08,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,2014-09-08,155.0
"Number of confirmed Ebola deaths in the last 21 days",Liberia,2014-09-08,330.0
"Number of probable Ebola deaths in the last 21 days",Liberia,2014-09-08,218.0
"Number of suspected Ebola deaths in the last 21 days",Liberia,2014-09-08,210.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,2014-09-08,758.0
"Number of confirmed Ebola deaths in the last 21 days","Sierra Leone",2014-09-08,148.0
"Number of probable Ebola deaths in the last 21 days","Sierra Leone",2014-09-08,0.0
"Number of suspected Ebola deaths in the last 21 days","Sierra Leone",2014-09-08,6.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days","Sierra Leone",2014-09-08,154.0
"Number of confirmed Ebola deaths in the last 21 days",Nigeria,2014-09-08,3.0
"Number of probable Ebola deaths in the last 21 days",Nigeria,2014-09-08,1.0
"Number of suspected Ebola deaths in the last 21 days",Nigeria,2014-09-08,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,2014-09-08,4.0
"Number of confirmed Ebola deaths in the last 21 days",Senegal,2014-09-08,0.0
"Number of probable Ebola deaths in the last 21 days",Senegal,2014-09-08,0.0
"Number of suspected Ebola deaths in the last 21 days",Senegal,2014-09-08,0.0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,2014-09-08,0.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Guinea,2014-09-08,30.0
"Proportion of probable Ebola deaths that are from the last 21 days",Guinea,2014-09-08,23.0
"Proportion of suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-08,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-08,28.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Liberia,2014-09-08,65.0
